movie_id,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,rating,language,country_of_origin,imdb_rating,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
movie_0001,Dragon Legend,Stand-up Comedy,History,Thriller,2014,35,TV-Y,French,Japan,0.5,"68,373","28,637",1,6,FALSE,2023-08-07,FALSE
movie_0002,Storm Warrior,Stand-up Comedy,Sci-Fi,Not Specified,2017,37,PG,Japanese,USA,3.3,"68,373","28,637",1,6,FALSE,2022-01-28,TRUE
movie_0003,Fire Family,Movie,Drama,Not Specified,2003,142,TV-MA,English,USA,8.5,"2,114,120","28,637",1,6,FALSE,2021-05-04,TRUE
movie_0004,Our Princess,Documentary,Sci-Fi,Not Specified,2011,131,NC-17,Japanese,USA,5.3,"68,373","28,637",1,6,FALSE,2022-11-26,FALSE
movie_0005,Warrior Mission,Documentary,Sport,Mystery,2015,91,TV-G,English,USA,3.1,"68,373","28,637",1,6,FALSE,2023-06-15,FALSE
movie_0006,Kingdom Phoenix,Movie,Documentary,Music,1997,113,PG-13,English,USA,8,"4,214,426","792,291",1,6,FALSE,2021-01-21,FALSE
movie_0007,Battle Story,TV Series,Sci-Fi,Not Specified,2003,52,TV-Y7,English,USA,0.5,"68,373","28,637",1,158,FALSE,2021-11-30,FALSE
movie_0008,Old House,Movie,Horror,Not Specified,1991,109,TV-Y,Spanish,South Korea,7.7,"629,216","3,995,303",1,6,FALSE,2020-10-04,FALSE
movie_0009,Dragon Empire,Movie,Biography,Not Specified,2013,123,PG,Spanish,USA,8.4,"68,373","28,637",1,6,FALSE,2024-05-09,FALSE
movie_0010,Dream War,Limited Series,Thriller,Animation,2019,49,TV-Y,Italian,Japan,8.2,"68,373","28,637",12,32,FALSE,2021-09-20,FALSE
movie_0011,Day Dream,Movie,Western,Not Specified,2022,148,R,English,USA,0.5,"16,018,207","28,637",1,6,TRUE,2025-06-02,FALSE
movie_0012,Bright War,Movie,Crime,Sci-Fi,1997,95,G,English,South Korea,9.9,"68,373","72,997,481",1,6,FALSE,2025-05-22,FALSE
movie_0013,Dream Journey,Movie,Romance,Not Specified,2013,138,PG,English,Germany,8.6,"1,758,821","3,573,506",1,6,FALSE,2021-01-20,TRUE
movie_0014,Little War,Movie,Mystery,Not Specified,1990,117,TV-14,Korean,Japan,8.4,"68,373","32,793,336",1,6,TRUE,2020-10-01,FALSE
movie_0015,Hero Empire,Movie,Sci-Fi,Mystery,2012,108,TV-G,English,UK,0.5,"2,006,408","28,637",1,6,FALSE,2022-09-18,FALSE
movie_0016,Last Dream,TV Series,Family,Not Specified,1999,54,PG-13,Spanish,USA,6,"68,373","28,637",1,139,FALSE,2022-01-19,FALSE
movie_0017,Kingdom Battle,Stand-up Comedy,War,Not Specified,2018,72,NC-17,Italian,UK,5.9,"68,373","28,637",1,6,TRUE,2021-10-13,FALSE
movie_0018,Princess Phoenix,Movie,Adventure,Not Specified,2011,116,PG,English,France,7.6,"10,555,440","7,278,095",1,6,TRUE,2021-04-04,FALSE
movie_0019,An Legend,Limited Series,Sci-Fi,Crime,2004,48,TV-PG,English,UK,9.3,"68,373","28,637",1,155,FALSE,2022-05-12,FALSE
movie_0020,An Mystery,TV Series,Fantasy,Not Specified,2009,41,PG-13,English,Canada,7.1,"68,373","28,637",14,168,FALSE,2022-08-21,FALSE
movie_0021,Family Love,Limited Series,Family,Thriller,2020,52,TV-PG,English,USA,8.5,"68,373","28,637",5,106,FALSE,2023-07-25,FALSE
movie_0022,First Mystery,Movie,Sci-Fi,Not Specified,1998,115,TV-PG,English,South Korea,0.5,"2,934,549","40,080,746",1,6,TRUE,2022-09-12,FALSE
movie_0023,Mystery Night,TV Series,Adventure,Not Specified,2020,60,TV-MA,English,USA,4.8,"68,373","28,637",6,197,TRUE,2024-10-18,FALSE
movie_0024,Fire Mystery,Movie,Biography,Not Specified,1990,114,TV-Y7,English,South Korea,4.4,"895,311","52,104,449",1,6,FALSE,2023-04-04,FALSE
movie_0025,Quest Queen,Movie,Family,Not Specified,2013,127,PG,English,UK,9.2,"68,373","1,286,089",1,6,FALSE,2024-12-21,FALSE
movie_0026,Last Love,TV Series,Comedy,Not Specified,2000,78,PG,English,India,8.6,"68,373","28,637",10,121,FALSE,2025-02-23,FALSE
movie_0027,House House,Stand-up Comedy,Western,Not Specified,2012,60,PG-13,English,South Korea,7,"68,373","28,637",1,6,TRUE,2021-09-19,FALSE
movie_0028,Legend Hero,Stand-up Comedy,Biography,Romance,2003,417,PG,French,USA,0.5,"68,373","28,637",1,6,FALSE,2024-01-07,FALSE
movie_0029,Dark Princess,Movie,Horror,Sport,1998,117,PG,English,Japan,5.4,"68,373","6,128,075",1,6,FALSE,2022-04-16,FALSE
movie_0030,Dragon King,Movie,Documentary,Not Specified,2017,151,G,English,India,7.5,"68,373","9,373,734",1,6,FALSE,2024-06-10,TRUE
movie_0031,Warrior War,Movie,Romance,Not Specified,2024,129,TV-Y7,English,USA,4.7,"68,373","2,057,069",1,6,FALSE,2022-06-10,FALSE
movie_0032,House Hero,TV Series,Crime,Not Specified,2000,31,TV-Y7,German,UK,0.5,"68,373","28,637",3,24,FALSE,2024-02-13,FALSE
movie_0033,Mystery City,Movie,Horror,Not Specified,1995,116,TV-MA,Korean,USA,7.3,"68,373","28,637",1,6,FALSE,2022-06-24,FALSE
movie_0034,Mission Kingdom,TV Series,War,Horror,2018,48,TV-PG,English,India,7.7,"68,373","28,637",14,138,TRUE,2023-10-22,TRUE
movie_0035,Princess Love,TV Series,Family,Romance,1994,38,TV-PG,English,USA,7.4,"68,373","28,637",1,62,FALSE,2021-03-01,FALSE
movie_0036,House Legend,TV Series,Adventure,Action,2018,61,PG-13,Spanish,Germany,6.5,"68,373","28,637",10,57,FALSE,2025-04-18,FALSE
movie_0037,Empire King,TV Series,Comedy,Not Specified,2011,51,TV-G,French,USA,0.5,"68,373","28,637",5,23,FALSE,2025-05-02,FALSE
movie_0038,A Empire,Movie,Action,Not Specified,1993,98,TV-MA,Korean,USA,5.6,"3,127,772","391,629,433",1,6,TRUE,2021-06-29,FALSE
movie_0039,Love Queen,Movie,Mystery,Not Specified,2019,80,PG-13,German,USA,7.3,"5,603,605","28,637",1,6,FALSE,2022-01-10,FALSE
movie_0040,Mystery Quest,Movie,War,Music,2005,116,PG-13,Japanese,UK,6.4,"1,816,487","2,016,406",1,6,FALSE,2023-02-04,FALSE
movie_0041,Kingdom War,Documentary,Biography,Sport,2003,83,TV-14,English,USA,0.5,"68,373","28,637",1,6,FALSE,2023-03-23,FALSE
movie_0042,First Hero,Movie,Action,Not Specified,2020,452,TV-G,Hindi,India,6.7,"2,146,992","55,547,817",1,6,TRUE,2024-06-01,FALSE
movie_0043,City Queen,Documentary,Family,Not Specified,2005,80,PG-13,Spanish,USA,6.3,"68,373","28,637",1,6,FALSE,2022-12-12,FALSE
movie_0044,Dragon City,Stand-up Comedy,War,Documentary,1998,379,TV-G,English,USA,5.2,"68,373","28,637",1,6,FALSE,2023-01-31,FALSE
movie_0045,Battle Day,Documentary,History,Not Specified,2003,92,PG,English,USA,5.4,"68,373","28,637",1,6,TRUE,2025-02-18,FALSE
movie_0046,The Dragon,TV Series,Family,Not Specified,2002,43,PG-13,English,USA,6.7,"68,373","28,637",8,113,FALSE,2023-08-15,FALSE
movie_0047,Day Journey,TV Series,Thriller,Not Specified,2008,47,PG,English,Japan,5.4,"68,373","28,637",9,54,FALSE,2020-12-15,FALSE
movie_0048,Secret Legend,Movie,Family,Not Specified,1994,102,TV-14,Hindi,UK,0.5,"93,953,191","835,652,471",1,6,FALSE,2024-08-30,FALSE
movie_0049,Kingdom Day,Movie,Thriller,Not Specified,2023,111,NC-17,English,Germany,4.6,"629,194","2,736,647",1,6,FALSE,2024-03-03,FALSE
movie_0050,Last Quest,TV Series,Biography,Not Specified,2015,41,TV-PG,French,USA,6.1,"68,373","28,637",8,116,FALSE,2023-08-10,FALSE
movie_0051,Hero Mystery,TV Series,Western,Comedy,1995,52,TV-PG,English,USA,8,"68,373","28,637",12,178,FALSE,2023-09-10,FALSE
movie_0052,Hero Journey,Movie,Sport,Biography,2002,104,PG-13,Italian,USA,4.9,"6,117,844","16,638,609",1,6,TRUE,2022-11-01,FALSE
movie_0053,Princess City,Documentary,History,Not Specified,2018,90,TV-Y7,English,Canada,4.7,"68,373","28,637",1,6,FALSE,2022-02-28,FALSE
movie_0054,Phoenix Journey,TV Series,Romance,History,2021,35,TV-MA,English,France,8.8,"68,373","28,637",1,78,FALSE,2024-11-17,FALSE
movie_0055,Queen Quest,Movie,Sci-Fi,Not Specified,2002,84,G,Italian,India,4.7,"6,494,786","28,637",1,6,TRUE,2023-11-21,TRUE
movie_0056,Big Princess,Movie,Adventure,Comedy,1997,137,TV-Y,English,USA,6.2,"3,593,765","2,259,750",1,6,TRUE,2021-01-18,FALSE
